Date : 2026-05-05 10:06:22
Directory : /home/developer/projects/open-navigator
Total : 90 files,  5647 codes, 911 comments, 1404 blanks, all 7962 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| /home/developer/projects/open-navigator/scripts/datasources/census/acs_ingestion.py                               | Python   |       -214 |       -134 |        -79 |       -427 |
| /home/developer/projects/open-navigator/scripts/datasources/census/census_ingestion.py                            | Python   |       -217 |       -110 |        -61 |       -388 |
| /home/developer/projects/open-navigator/scripts/datasources/census/download_acs_to_d_drive.py                     | Python   |       -232 |        -75 |        -66 |       -373 |
| /home/developer/projects/open-navigator/scripts/datasources/census/download_county_mappings.py                    | Python   |       -147 |        -64 |        -50 |       -261 |
| /home/developer/projects/open-navigator/scripts/datasources/census/download_shapefiles.py                         | Python   |       -150 |        -66 |        -43 |       -259 |
| /home/developer/projects/open-navigator/scripts/datasources/census/load_acs.py                                    | Python   |        214 |        134 |         79 |        427 |
| /home/developer/projects/open-navigator/scripts/datasources/census/load_acs_data.py                               | Python   |        232 |         75 |         66 |        373 |
| /home/developer/projects/open-navigator/scripts/datasources/census/load_census.py                                 | Python   |        217 |        110 |         61 |        388 |
| /home/developer/projects/open-navigator/scripts/datasources/census/load_county_mappings.py                        | Python   |        147 |         64 |         50 |        261 |
| /home/developer/projects/open-navigator/scripts/datasources/census/load_shapefiles.py                             | Python   |        150 |         66 |         43 |        259 |
| /home/developer/projects/open-navigator/scripts/datasources/fec/bulk_download_fec.py                              | Python   |       -302 |       -141 |        -70 |       -513 |
| /home/developer/projects/open-navigator/scripts/datasources/fec/load_fec_bulk.py                                  | Python   |        302 |        141 |         70 |        513 |
| /home/developer/projects/open-navigator/scripts/datasources/gemini/README.md                                      | Markdown |        198 |          0 |         58 |        256 |
| /home/developer/projects/open-navigator/scripts/datasources/gemini/README_BRONZE_MERGE.md                         | Markdown |        183 |          0 |         63 |        246 |
| /home/developer/projects/open-navigator/scripts/datasources/gemini/analyze_meeting_transcripts.py                 | Python   |       -501 |       -188 |        -49 |       -738 |
| /home/developer/projects/open-navigator/scripts/datasources/gemini/cleanup_null_records.py                        | Python   |        -88 |        -20 |        -35 |       -143 |
| /home/developer/projects/open-navigator/scripts/datasources/gemini/compare_model_extractions.py                   | Python   |        162 |         37 |         42 |        241 |
| /home/developer/projects/open-navigator/scripts/datasources/gemini/entity_resolution.py                           | Python   |        228 |        122 |         93 |        443 |
