Date : 2026-05-14 20:08:39
Directory : /home/developer/projects/open-navigator
Total : 111 files,  8890 codes, 1523 comments, 979 blanks, all 11392 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| /home/developer/projects/open-navigator/frontend/src/contexts/LocationContext.tsx                                                               | TypeScript JSX |         -1 |          1 |          0 |          0 |
| /home/developer/projects/open-navigator/frontend/src/pages/CensusMapPage.tsx                                                                    | TypeScript JSX |         87 |          8 |          5 |        100 |
| /home/developer/projects/open-navigator/frontend/src/pages/DataExplorerScorecardPage.tsx                                                        | TypeScript JSX |         56 |          7 |         10 |         73 |
| /home/developer/projects/open-navigator/frontend/src/pages/Explore.tsx                                                                          | TypeScript JSX |         82 |         -3 |          7 |         86 |
| /home/developer/projects/open-navigator/frontend/src/pages/Heatmap.tsx                                                                          | TypeScript JSX |          1 |          0 |          0 |          1 |
| /home/developer/projects/open-navigator/frontend/src/pages/Home.tsx                                                                             | TypeScript JSX |       -662 |        -47 |        -46 |       -755 |
| /home/developer/projects/open-navigator/frontend/src/pages/HomeModern.tsx                                                                       | TypeScript JSX |        -87 |         -1 |         -3 |        -91 |
| /home/developer/projects/open-navigator/frontend/src/pages/JurisdictionMappingQualityPage.tsx                                                   | TypeScript JSX |      1,340 |          0 |         64 |      1,404 |
| /home/developer/projects/open-navigator/frontend/src/utils/censusDataDictionary.ts                                                              | TypeScript     |         14 |          5 |          3 |         22 |
| /home/developer/projects/open-navigator/frontend/src/utils/censusMapValueMode.ts                                                                | TypeScript     |         19 |          6 |          2 |         27 |
| /home/developer/projects/open-navigator/frontend/src/utils/communityLocationLabel.ts                                                            | TypeScript     |         11 |          1 |          2 |         14 |
| /home/developer/projects/open-navigator/frontend/src/utils/dataExplorerPaths.ts                                                                 | TypeScript     |          1 |          1 |          1 |          3 |
| /home/developer/projects/open-navigator/frontend/src/utils/stateMapping.ts                                                                      | TypeScript     |         17 |          4 |          2 |         23 |
| /home/developer/projects/open-navigator/frontend/src/utils/wikicommonsLicensePlate.ts                                                           | TypeScript     |         20 |         12 |          6 |         38 |
| /home/developer/projects/open-navigator/frontend/tailwind.config.js                                                                             | JavaScript     |         15 |          0 |          0 |         15 |
| /home/developer/projects/open-navigator/package-lock.yml                                                                                        | YAML           |         11 |          0 |          1 |         12 |
| /home/developer/projects/open-navigator/packages.yml                                                                                            | YAML           |          5 |          0 |          1 |          6 |
| /home/developer/projects/open-navigator/scripts/datasources/census/download_census_acs_data.py                                                  | Python         |         22 |          0 |          1 |         23 |
| /home/developer/projects/open-navigator/scripts/datasources/census/export_census_map_static.py                                                  | Python         |         16 |          2 |          4 |         22 |
| /home/developer/projects/open-navigator/scripts/datasources/census/load_jurisdiction_acs_gold.py                                                | Python         |        392 |         93 |         45 |        530 |
| /home/developer/projects/open-navigator/scripts/datasources/dot/build_dot_unified_events.py                                                     | Python         |        248 |         23 |         31 |        302 |
| /home/developer/projects/open-navigator/scripts/datasources/dot/download_state_dot_public_pages.py                                              | Python         |        273 |         29 |         36 |        338 |
| /home/developer/projects/open-navigator/scripts/datasources/dot/extract_dot_event_candidates_from_cache.py                                      | Python         |        197 |         23 |         33 |        253 |
| /home/developer/projects/open-navigator/scripts/datasources/dot/load_dot_unified_events_to_postgres.py                                          | Python         |        121 |         12 |         19 |        152 |
| /home/developer/projects/open-navigator/scripts/datasources/jurisdictions/export_jurisdiction_mapping_quality_json.py                           | Python         |        125 |        193 |         27 |        345 |
| /home/developer/projects/open-navigator/scripts/datasources/leagueofcities/download_league_city_directories.py                                  | Python         |      1,354 |         80 |        127 |      1,561 |
| /home/developer/projects/open-navigator/scripts/datasources/leagueofcities/readme.md                                                            | Markdown       |         52 |          0 |          0 |         52 |
