Date : 2026-04-27 20:45:24
Directory : /home/developer/projects/oral-health-policy-pulse
Total : 74 files,  12560 codes, 2267 comments, 3207 blanks, all 18034 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| /home/developer/projects/oral-health-policy-pulse/website/docs/data-sources/irs-bulk-data.md     | Markdown       |        318 |          0 |        115 |        433 |
| /home/developer/projects/oral-health-policy-pulse/website/docs/families/community-resources.md   | Markdown       |        120 |          0 |         31 |        151 |
| /home/developer/projects/oral-health-policy-pulse/website/docs/families/service-requests.md      | Markdown       |        380 |          0 |         91 |        471 |
| /home/developer/projects/oral-health-policy-pulse/website/docs/guides/api-troubleshooting.md     | Markdown       |        154 |          0 |         62 |        216 |
| /home/developer/projects/oral-health-policy-pulse/website/docs/guides/contacts-officials.md      | Markdown       |        370 |          0 |        143 |        513 |
| /home/developer/projects/oral-health-policy-pulse/website/docs/guides/gold-table-pipeline.md     | Markdown       |        201 |          0 |         92 |        293 |
| /home/developer/projects/oral-health-policy-pulse/website/docs/guides/huggingface-datasets.md    | Markdown       |        400 |          0 |        105 |        505 |
| /home/developer/projects/oral-health-policy-pulse/website/docs/guides/huggingface-integration.md | Markdown       |        250 |          0 |         97 |        347 |
| /home/developer/projects/oral-health-policy-pulse/website/docs/guides/partitioned-datasets.md    | Markdown       |        221 |          0 |         69 |        290 |
| /home/developer/projects/oral-health-policy-pulse/website/docs/guides/state-split-data.md        | Markdown       |        128 |          0 |         44 |        172 |
| /home/developer/projects/oral-health-policy-pulse/website/sidebars.ts                            | TypeScript     |         29 |          3 |          1 |         33 |
| Total                                                                                            |                |     12,560 |      2,267 |      3,207 |     18,034 |
+--------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
