Date : 2026-04-27 20:45:24
Directory : /home/developer/projects/oral-health-policy-pulse
Total : 74 files,  12560 codes, 2267 comments, 3207 blanks, all 18034 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| /home/developer/projects/oral-health-policy-pulse/pipeline/create_contacts_gold_tables.py        | Python         |        204 |         70 |         70 |        344 |
| /home/developer/projects/oral-health-policy-pulse/pipeline/create_meetings_gold_tables.py        | Python         |        202 |         65 |         77 |        344 |
| /home/developer/projects/oral-health-policy-pulse/pipeline/create_nonprofits_gold_tables.py      | Python         |        317 |        117 |         78 |        512 |
| /home/developer/projects/oral-health-policy-pulse/run_gold_tables.sh                             | Shell Script   |          9 |          3 |          4 |         16 |
| /home/developer/projects/oral-health-policy-pulse/scripts/bigquery_tuscaloosa_missions.sql       | MS SQL         |         88 |          1 |          9 |         98 |
| /home/developer/projects/oral-health-policy-pulse/scripts/cleanup_nonprofit_files.py             | Python         |        113 |         25 |         42 |        180 |
| /home/developer/projects/oral-health-policy-pulse/scripts/consolidate_partitioned_datasets.py    | Python         |        118 |         28 |         33 |        179 |
| /home/developer/projects/oral-health-policy-pulse/scripts/create_all_gold_tables.py              | Python         |        159 |         37 |         28 |        224 |
| /home/developer/projects/oral-health-policy-pulse/scripts/create_contacts_by_state.py            | Python         |        126 |         22 |         43 |        191 |
| /home/developer/projects/oral-health-policy-pulse/scripts/create_partitioned_datasets.py         | Python         |        191 |         83 |         47 |        321 |
| /home/developer/projects/oral-health-policy-pulse/scripts/enrich_nonprofits_async.py             | Python         |        249 |         72 |         49 |        370 |
| /home/developer/projects/oral-health-policy-pulse/scripts/enrich_nonprofits_bigquery.py          | Python         |        107 |        349 |         18 |        474 |
| /home/developer/projects/oral-health-policy-pulse/scripts/enrich_nonprofits_everyorg.py          | Python         |        231 |         71 |         55 |        357 |
| /home/developer/projects/oral-health-policy-pulse/scripts/enrich_nonprofits_form990.py           | Python         |        290 |         93 |         74 |        457 |
| /home/developer/projects/oral-health-policy-pulse/scripts/enrich_nonprofits_gt990.py             | Python         |        343 |        146 |         92 |        581 |
