Date : 2026-05-15 09:43:58
Directory : /home/developer/projects/open-navigator
Total : 969 files,  248435 codes, 32890 comments, 43506 blanks, all 324831 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| frontend/src/utils                                                                                                                       |         13 |      1,910 |        281 |        203 |      2,394 |
| models                                                                                                                                   |          1 |        220 |         71 |         51 |        342 |
| notebooks                                                                                                                                |          2 |        177 |        227 |        116 |        520 |
| output                                                                                                                                   |          3 |        496 |          0 |         62 |        558 |
| output (Files)                                                                                                                           |          2 |         92 |          0 |         62 |        154 |
| output/tuscaloosa                                                                                                                        |          1 |        404 |          0 |          0 |        404 |
| pipeline                                                                                                                                 |         10 |      2,222 |        954 |        563 |      3,739 |
| prompts                                                                                                                                  |          5 |        953 |          0 |        135 |      1,088 |
| scripts                                                                                                                                  |        432 |     79,219 |     22,157 |     15,536 |    116,912 |
| scripts (Files)                                                                                                                          |          8 |      1,177 |        238 |        241 |      1,656 |
| scripts/database                                                                                                                         |          1 |         18 |          9 |          6 |         33 |
| scripts/datasources                                                                                                                      |        232 |     49,164 |     13,717 |      9,191 |     72,072 |
| scripts/datasources (Files)                                                                                                              |          2 |        106 |          0 |         41 |        147 |
| scripts/datasources/ballotpedia                                                                                                          |          2 |        365 |        215 |        108 |        688 |
| scripts/datasources/cdp                                                                                                                  |          4 |        648 |        136 |        185 |        969 |
| scripts/datasources/census                                                                                                               |         32 |      5,788 |      1,923 |      1,202 |      8,913 |
| scripts/datasources/cityscrapers                                                                                                         |          2 |        339 |         85 |        120 |        544 |
| scripts/datasources/dbpedia                                                                                                              |          2 |        230 |        167 |         28 |        425 |
| scripts/datasources/dot                                                                                                                  |          4 |        839 |         87 |        119 |      1,045 |
| scripts/datasources/fec                                                                                                                  |          8 |      2,342 |        563 |        595 |      3,500 |
| scripts/datasources/gemini                                                                                                               |         22 |      4,417 |        975 |        995 |      6,387 |
| scripts/datasources/gemini (Files)                                                                                                       |         13 |      3,215 |        685 |        733 |      4,633 |
| scripts/datasources/gemini/migrations                                                                                                    |          9 |      1,202 |        290 |        262 |      1,754 |
| scripts/datasources/google_civic                                                                                                         |          2 |        229 |        100 |         68 |        397 |
| scripts/datasources/google_data_commons                                                                                                  |          1 |        162 |        119 |         40 |        321 |
| scripts/datasources/govwebsites                                                                                                          |          2 |        224 |        108 |         66 |        398 |
| scripts/datasources/grants_gov                                                                                                           |          4 |        607 |        150 |        165 |        922 |
| scripts/datasources/gsa                                                                                                                  |          2 |        303 |         31 |         73 |        407 |
| scripts/datasources/hifld                                                                                                                |          4 |        541 |        125 |        157 |        823 |
| scripts/datasources/hud                                                                                                                  |          1 |        151 |         22 |         40 |        213 |
| scripts/datasources/irs                                                                                                                  |          7 |      1,476 |        378 |        445 |      2,299 |
| scripts/datasources/jurisdictions                                                                                                        |          5 |      1,114 |        347 |        152 |      1,613 |
| scripts/datasources/leagueofcities                                                                                                       |          3 |      2,067 |        566 |        194 |      2,827 |
| scripts/datasources/localview                                                                                                            |          8 |      1,696 |        526 |        411 |      2,633 |
| scripts/datasources/localview (Files)                                                                                                    |          5 |        961 |        222 |        219 |      1,402 |
| scripts/datasources/localview/archive                                                                                                    |          3 |        735 |        304 |        192 |      1,231 |
| scripts/datasources/master_data                                                                                                          |          3 |      1,596 |        254 |        275 |      2,125 |
| scripts/datasources/meetingbank                                                                                                          |          2 |        269 |        128 |         89 |        486 |
| scripts/datasources/naco                                                                                                                 |          5 |        962 |        167 |        186 |      1,315 |
| scripts/datasources/nccs                                                                                                                 |          3 |        833 |         75 |        174 |      1,082 |
| scripts/datasources/nces                                                                                                                 |          8 |      1,581 |        525 |        251 |      2,357 |
| scripts/datasources/ntee                                                                                                                 |          3 |        346 |         59 |        107 |        512 |
| scripts/datasources/openstates                                                                                                           |         19 |      2,864 |      1,185 |        715 |      4,764 |
| scripts/datasources/osf                                                                                                                  |          5 |        760 |        117 |        204 |      1,081 |
| scripts/datasources/social_media                                                                                                         |          1 |        238 |        137 |         59 |        434 |
| scripts/datasources/uscm                                                                                                                 |          7 |        817 |        138 |        156 |      1,111 |
| scripts/datasources/vendorsearch                                                                                                         |          2 |        308 |         25 |         71 |        404 |
| scripts/datasources/voter_data                                                                                                           |          2 |        173 |        143 |         54 |        370 |
| scripts/datasources/wikidata                                                                                                             |         20 |      6,560 |      2,472 |        669 |      9,701 |
| scripts/datasources/youtube                                                                                                              |         35 |      8,213 |      1,669 |        977 |     10,859 |
| scripts/datasources/youtube (Files)                                                                                                      |         34 |      8,189 |      1,663 |        972 |     10,824 |
| scripts/datasources/youtube/sql                                                                                                          |          1 |         24 |          6 |          5 |         35 |
| scripts/dbt                                                                                                                              |          4 |        788 |         45 |        158 |        991 |
| scripts/deployment                                                                                                                       |         55 |      4,983 |      1,245 |      1,167 |      7,395 |
| scripts/deployment (Files)                                                                                                               |          9 |        565 |         74 |        129 |        768 |
| scripts/deployment/neon                                                                                                                  |         46 |      4,418 |      1,171 |      1,038 |      6,627 |
| scripts/deployment/neon (Files)                                                                                                          |         17 |      2,900 |        787 |        689 |      4,376 |
| scripts/deployment/neon/migrations                                                                                                       |         29 |      1,518 |        384 |        349 |      2,251 |
| scripts/development                                                                                                                      |          4 |        303 |         66 |         77 |        446 |
| scripts/discovery                                                                                                                        |         22 |      7,562 |      1,768 |      1,135 |     10,465 |
| scripts/discovery (Files)                                                                                                                |         19 |      6,676 |      1,611 |        981 |      9,268 |
| scripts/discovery/archive                                                                                                                |          2 |        797 |        148 |        144 |      1,089 |
| scripts/discovery/sql                                                                                                                    |          1 |         89 |          9 |         10 |        108 |
| scripts/enrichment                                                                                                                       |         23 |      4,150 |      1,421 |        883 |      6,454 |
| scripts/enrichment_ai                                                                                                                    |         16 |      2,441 |      1,537 |        541 |      4,519 |
| scripts/examples                                                                                                                         |         10 |      1,800 |        420 |        490 |      2,710 |
| scripts/frontend                                                                                                                         |          2 |         55 |          7 |          4 |         66 |
| scripts/huggingface                                                                                                                      |         22 |      2,823 |        790 |        699 |      4,312 |
| scripts/localview                                                                                                                        |          7 |      1,241 |        264 |        349 |      1,854 |
| scripts/maintenance                                                                                                                      |         12 |        699 |        143 |        183 |      1,025 |
| scripts/mcp                                                                                                                              |          2 |        570 |         55 |        115 |        740 |
| scripts/media                                                                                                                            |          3 |        390 |        313 |        114 |        817 |
| scripts/migrations                                                                                                                       |          2 |        433 |         38 |         81 |        552 |
| scripts/utils                                                                                                                            |          4 |        103 |         53 |         34 |        190 |
| scripts/wikicommons                                                                                                                      |          3 |        519 |         28 |         68 |        615 |
| tests                                                                                                                                    |          3 |        192 |         28 |         66 |        286 |
| visualization                                                                                                                            |          2 |        235 |        165 |         37 |        437 |
| website                                                                                                                                  |        193 |     72,702 |        203 |     15,537 |     88,442 |
| website (Files)                                                                                                                          |          8 |     21,810 |         51 |         96 |     21,957 |
| website/blog                                                                                                                             |          5 |        310 |          0 |        108 |        418 |
| website/docs                                                                                                                             |        163 |     49,073 |          2 |     15,204 |     64,279 |
| website/docs (Files)                                                                                                                     |          9 |      1,997 |          0 |        701 |      2,698 |
| website/docs/case-studies                                                                                                                |          3 |      1,474 |          0 |        467 |      1,941 |
| website/docs/data-sources                                                                                                                |         24 |     12,162 |          0 |      3,127 |     15,289 |
| website/docs/dbt                                                                                                                         |          5 |      1,033 |          0 |        304 |      1,337 |
| website/docs/deployment                                                                                                                  |         21 |      5,304 |          0 |      1,849 |      7,153 |
| website/docs/development                                                                                                                 |         39 |      9,122 |          0 |      2,801 |     11,923 |
| website/docs/families                                                                                                                    |          5 |      1,552 |          0 |        420 |      1,972 |
| website/docs/guides                                                                                                                      |         35 |     10,473 |          0 |      3,531 |     14,004 |
| website/docs/integrations                                                                                                                |         13 |      3,558 |          0 |      1,156 |      4,714 |
| website/docs/legal                                                                                                                       |          8 |      2,348 |          2 |        821 |      3,171 |
| website/docs/resources                                                                                                                   |          1 |         50 |          0 |         27 |         77 |
| website/src                                                                                                                              |         11 |      1,113 |        145 |        121 |      1,379 |
| website/src/clientModules                                                                                                                |          1 |         13 |          4 |          2 |         19 |
| website/src/components                                                                                                                   |          5 |        389 |          7 |         39 |        435 |
| website/src/components (Files)                                                                                                           |          1 |        101 |          4 |          5 |        110 |
| website/src/components/HomepageFeatures                                                                                                  |          2 |         77 |          0 |          7 |         84 |
| website/src/components/ZoomableMermaid                                                                                                   |          2 |        211 |          3 |         27 |        241 |
| website/src/css                                                                                                                          |          1 |        196 |         25 |         37 |        258 |
| website/src/pages                                                                                                                        |          3 |        504 |        109 |         41 |        654 |
| website/src/theme                                                                                                                        |          1 |         11 |          0 |          2 |         13 |
| website/static                                                                                                                           |          6 |        396 |          5 |          8 |        409 |
| website/static (Files)                                                                                                                   |          1 |          1 |          0 |          0 |          1 |
| website/static/img                                                                                                                       |          5 |        395 |          5 |          8 |        408 |
+------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                                 | language           | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /home/developer/projects/open-navigator/.claude/settings.json                                                                            | JSON with Comments |         12 |          0 |          1 |         13 |
| /home/developer/projects/open-navigator/.github/copilot-instructions.md                                                                  | Markdown           |        599 |          0 |        159 |        758 |
| /home/developer/projects/open-navigator/.github/workflows/ci-build-test.yml                                                              | YAML               |        119 |          6 |         26 |        151 |
| /home/developer/projects/open-navigator/.github/workflows/deploy-huggingface.yml                                                         | YAML               |         51 |          2 |         10 |         63 |
| /home/developer/projects/open-navigator/.huggingface/README.md                                                                           | Markdown           |         74 |          0 |         28 |        102 |
| /home/developer/projects/open-navigator/.huggingface/nginx.conf                                                                          | Properties         |        103 |         18 |         22 |        143 |
| /home/developer/projects/open-navigator/.huggingface/start.sh                                                                            | Shell Script       |         44 |          8 |         10 |         62 |
| /home/developer/projects/open-navigator/.huggingface/supervisord.conf                                                                    | Properties         |         26 |          0 |          3 |         29 |
| /home/developer/projects/open-navigator/CITATIONS.md                                                                                     | Markdown           |      1,765 |          0 |        354 |      2,119 |
| /home/developer/projects/open-navigator/CODE_OF_CONDUCT.md                                                                               | Markdown           |         28 |          0 |         20 |         48 |
| /home/developer/projects/open-navigator/CONTRIBUTING.md                                                                                  | Markdown           |         72 |          0 |         28 |        100 |
| /home/developer/projects/open-navigator/Dockerfile                                                                                       | Docker             |         49 |         21 |         21 |         91 |
| /home/developer/projects/open-navigator/Makefile                                                                                         | Makefile           |        145 |          0 |         25 |        170 |
| /home/developer/projects/open-navigator/README.md                                                                                        | Markdown           |        417 |          0 |        162 |        579 |
| /home/developer/projects/open-navigator/README_HF.md                                                                                     | Markdown           |         74 |          0 |         28 |        102 |
| /home/developer/projects/open-navigator/__init__.py                                                                                      | Python             |         17 |          1 |          4 |         22 |
| /home/developer/projects/open-navigator/agents/__init__.py                                                                               | Python             |         14 |          1 |          2 |         17 |
| /home/developer/projects/open-navigator/agents/advocacy.py                                                                               | Python             |        298 |         58 |         53 |        409 |
| /home/developer/projects/open-navigator/agents/base.py                                                                                   | Python             |        100 |         47 |         25 |        172 |
| /home/developer/projects/open-navigator/agents/classifier.py                                                                             | Python             |        189 |         67 |         40 |        296 |
| /home/developer/projects/open-navigator/agents/debate_grader.py                                                                          | Python             |        305 |         64 |         56 |        425 |
| /home/developer/projects/open-navigator/agents/mlflow_base.py                                                                            | Python             |        162 |        108 |         38 |        308 |
| /home/developer/projects/open-navigator/agents/mlflow_classifier.py                                                                      | Python             |        140 |        147 |         22 |        309 |
| /home/developer/projects/open-navigator/agents/orchestrator.py                                                                           | Python             |        154 |         81 |         35 |        270 |
| /home/developer/projects/open-navigator/agents/parser.py                                                                                 | Python             |        123 |         47 |         30 |        200 |
| /home/developer/projects/open-navigator/agents/policy_reasoning_analyzer.py                                                              | Python             |        370 |         91 |         42 |        503 |
| /home/developer/projects/open-navigator/agents/scraper_undetected.py                                                                     | Python             |        173 |         46 |         43 |        262 |
| /home/developer/projects/open-navigator/agents/sentiment.py                                                                              | Python             |        248 |         73 |         61 |        382 |
| /home/developer/projects/open-navigator/agents/test_policy_analyzer.py                                                                   | Python             |         72 |         14 |         27 |        113 |
| /home/developer/projects/open-navigator/alerts/keyword_monitor.py                                                                        | Python             |        344 |        146 |         78 |        568 |
| /home/developer/projects/open-navigator/api/__init__.py                                                                                  | Python             |          2 |          1 |          2 |          5 |
| /home/developer/projects/open-navigator/api/app.py                                                                                       | Python             |        513 |        109 |         98 |        720 |
| /home/developer/projects/open-navigator/api/auth.py                                                                                      | Python             |         74 |         52 |         28 |        154 |
| /home/developer/projects/open-navigator/api/database.py                                                                                  | Python             |         41 |         22 |         10 |         73 |
| /home/developer/projects/open-navigator/api/errors.py                                                                                    | Python             |        112 |         24 |         19 |        155 |
| /home/developer/projects/open-navigator/api/main.py                                                                                      | Python             |        821 |        501 |         81 |      1,403 |
| /home/developer/projects/open-navigator/api/models.py                                                                                    | Python             |        160 |         43 |         66 |        269 |
| /home/developer/projects/open-navigator/api/routes/__init__.py                                                                           | Python             |          0 |          3 |          1 |          4 |
| /home/developer/projects/open-navigator/api/routes/auth.py                                                                               | Python             |        420 |         79 |        101 |        600 |
| /home/developer/projects/open-navigator/api/routes/bills.py                                                                              | Python             |        294 |        558 |         42 |        894 |
| /home/developer/projects/open-navigator/api/routes/bills_neon.py                                                                         | Python             |        425 |        678 |         40 |      1,143 |
